step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\H2-attack-matrix-20260731-170000.txt
1,PASS,gm .gm on
2,PASS,wire-trace start path=dumps/wire-20260731-164243.wlog
3,FAIL,select wild-hostile:1 guid=0x0000000000000000
4,PASS,trace start H2-wild-object-store-20260731-170000
5,PASS,attack start
6,PASS,wait 2
7,PASS,attack stop
8,PASS,wait 0.2
9,PASS,trace stop
10,PASS,gm .npc spawn add 6
11,PASS,wait 0.2
12,PASS,select spawn:1 guid=0xF13000000604A281
13,PASS,assert within3=true
14,PASS,gm .npc set level 60
15,PASS,gm .npc set reactstate 0
16,PASS,gm .npc info
17,PASS,wait 1
18,PASS,trace start H2-spawn-object-store-20260731-170000
19,PASS,attack start
20,PASS,wait 2
21,PASS,attack stop
22,PASS,wait 0.2
23,PASS,trace stop
24,PASS,wire-trace stop
25,PASS,gm .npc spawn delete
26,PASS,wait 1
27,PASS,waitgone spawn:1 guid=0xF13000000604A281 descriptorPresent=False
