row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,4.286803,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackPrecondition,live-send-path,false,0xF13000012B013849,,server,,unchecked,unchecked,none,5.0506988,-2.2666438,-2.2666438,0,Stand,4.3035007,,,,0->0:Exact,player=0x0000000000000001;position=-8988.372|-147.69296|81.98207;gmMode=false;gmSource=server-response;present=true;visible=true;alive=True;health=100;maxHealth=100;unitFlags=0x00000000;dynamicFlags=0x00000000;faction=32;entry=299;distance=5.0757585;targetPosition=-8983.891|-145.36354|82.485825
2,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000012B013849,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,5.0506988,-2.2666438,-2.2666438,0,Stand,4.3035007,,,,0->0:Exact,CMSG_ATTACKSWING
3,0.000000,0.000000,IntentOn,user-start,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.0506988,-2.2666438,-2.2666438,0,Stand,4.3035007,,,,0->0:Exact,local attack latch edge
4,0.016769,0.016769,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.0446253,-2.2753289,-2.2753289,0,Stand,4.320269,,,,0->0:Exact,none; server owns swing cadence
5,0.033562,0.016794,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.039254,-2.2830374,-2.2830374,0,Stand,4.337063,,,,0->0:Exact,none; server owns swing cadence
6,0.050192,0.016630,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.0350537,-2.29085,-2.29085,0,Stand,4.3536925,,,,0->0:Exact,none; server owns swing cadence
7,0.066829,0.016638,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.0301647,-2.299088,-2.299088,0,Stand,4.3703303,,,,0->0:Exact,none; server owns swing cadence
8,0.083478,0.016649,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.0257134,-2.306844,-2.306844,0,Stand,4.3869796,,,,0->0:Exact,none; server owns swing cadence
9,0.100231,0.016753,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.022376,-2.3151927,-2.3151927,0,Stand,4.4037323,,,,0->0:Exact,none; server owns swing cadence
10,0.116779,0.016548,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.018499,-2.323472,-2.323472,0,Stand,4.4202805,,,,0->0:Exact,none; server owns swing cadence
11,0.133521,0.016742,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.01496,-2.3317664,-2.3317664,0,Stand,4.437022,,,,0->0:Exact,none; server owns swing cadence
12,0.150238,0.016717,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.012689,-2.339644,-2.339644,0,Stand,4.4537396,,,,0->0:Exact,none; server owns swing cadence
13,0.167452,0.017214,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.009824,-2.3479576,-2.3479576,0,Stand,4.4709535,,,,0->0:Exact,none; server owns swing cadence
14,0.183542,0.016090,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.007311,-2.3562775,-2.3562775,0,Stand,4.4870434,,,,0->0:Exact,none; server owns swing cadence
15,0.200190,0.016649,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.006009,-2.364175,-2.364175,0,Stand,4.503692,,,,0->0:Exact,none; server owns swing cadence
16,0.216983,0.016792,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.004167,-2.3725107,-2.3725107,0,Stand,4.5204844,,,,0->0:Exact,none; server owns swing cadence
17,0.233587,0.016604,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.0026784,-2.380849,-2.380849,0,Stand,4.537089,,,,0->0:Exact,none; server owns swing cadence
18,0.250314,0.016727,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.0023484,-2.3887572,-2.3887572,0,Stand,4.553816,,,,0->0:Exact,none; server owns swing cadence
19,0.266925,0.016611,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.001533,-2.3971045,-2.3971045,0,Stand,4.570427,,,,0->0:Exact,none; server owns swing cadence
20,0.283535,0.016610,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.0019917,-2.4055161,-2.4055161,0,Stand,4.587037,,,,0->0:Exact,none; server owns swing cadence
21,0.300202,0.016667,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.0017095,-2.4133632,-2.4133632,0,Stand,4.603704,,,,0->0:Exact,none; server owns swing cadence
22,0.317080,0.016878,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.001926,-2.4217093,-2.4217093,0,Stand,4.620582,,,,0->0:Exact,none; server owns swing cadence
23,0.333593,0.016513,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.00342,-2.4301147,-2.4301147,0,Stand,4.6370955,,,,0->0:Exact,none; server owns swing cadence
24,0.350429,0.016836,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.0041027,-2.4379575,-2.4379575,0,Stand,4.653931,,,,0->0:Exact,none; server owns swing cadence
25,0.367112,0.016682,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.005346,-2.4462953,-2.4462953,0,Stand,4.670614,,,,0->0:Exact,none; server owns swing cadence
26,0.383752,0.016640,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.007868,-2.454687,-2.454687,0,Stand,4.687254,,,,0->0:Exact,none; server owns swing cadence
27,0.400238,0.016486,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.009519,-2.4625137,-2.4625137,0,Stand,4.7037396,,,,0->0:Exact,none; server owns swing cadence
28,0.417038,0.016800,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.011786,-2.4708328,-2.4708328,0,Stand,4.72054,,,,0->0:Exact,none; server owns swing cadence
29,0.433668,0.016630,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.0153375,-2.4791985,-2.4791985,0,Stand,4.73717,,,,0->0:Exact,none; server owns swing cadence
30,0.450375,0.016706,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.0179486,-2.4870021,-2.4870021,0,Stand,4.753876,,,,0->0:Exact,none; server owns swing cadence
31,0.467037,0.016662,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.021231,-2.4952958,-2.4952958,0,Stand,4.7705383,,,,0->0:Exact,none; server owns swing cadence
32,0.483695,0.016659,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.0258107,-2.503622,-2.503622,0,Stand,4.787197,,,,0->0:Exact,none; server owns swing cadence
33,0.500611,0.016916,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.0297875,-2.5118873,-2.5118873,0,Stand,4.804113,,,,0->0:Exact,none; server owns swing cadence
34,0.517007,0.016396,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.0336723,-2.5196495,-2.5196495,0,Stand,4.8205094,,,,0->0:Exact,none; server owns swing cadence
35,0.533904,0.016897,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.039268,-2.5279295,-2.5279295,0,Stand,4.8374066,,,,0->0:Exact,none; server owns swing cadence
36,0.550556,0.016652,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.04425,-2.5361533,-2.5361533,0,Stand,4.8540583,,,,0->0:Exact,none; server owns swing cadence
37,0.568324,0.017768,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.0495753,-2.5443575,-2.5443575,0,Stand,4.871826,,,,0->0:Exact,none; server owns swing cadence
38,0.583780,0.015456,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.055686,-2.5520935,-2.5520935,0,Stand,4.887282,,,,0->0:Exact,none; server owns swing cadence
39,0.600790,0.017011,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.061667,-2.5602636,-2.5602636,0,Stand,4.9042926,,,,0->0:Exact,none; server owns swing cadence
40,0.617102,0.016312,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.068398,-2.5679607,-2.5679607,0,Stand,4.920605,,,,0->0:Exact,none; server owns swing cadence
41,0.633747,0.016645,Tick,live-sample,true,0xF13000012B013849,,server,,unchecked,unchecked,none,5.0750337,-2.57609,-2.57609,0,Stand,4.9372497,,,,0->0:Exact,none; server owns swing cadence
