step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\spells\test-warrior-slam-rank1-castbar-v5.txt
1,PASS,gm .gps
2,PASS,waitfor GmChatResponse
3,PASS,gm .gm on
4,PASS,wait 1
5,PASS,gm .modify rage 1000
6,PASS,wait 1
7,PASS,gm .cooldown clear
8,PASS,wait 1
9,PASS,gm .npc spawn add 1642
10,PASS,anchor spawn:1 guid=0xF13000066A04A2A3 position=-8949.95|-132.493|83.529526
11,PASS,assert event=SpawnObserved
12,PASS,select spawn:1 guid=0xF13000066A04A2A3
13,PASS,gm .gm off
14,PASS,wire-trace start path=dumps/wire-20260801-094657.wlog
15,PASS,socket-trace start n1c-castbar-slam-rank1-v5 path=C:\Users\nico\source\repos\MSUIClient\dumps\sockettrace-n1c-castbar-slam-rank1-v5-20260801-094657.csv
16,PASS,cast 1464
17,FAIL,waitspell SMSG_SPELL_START timeout
18,PASS,press W
19,PASS,wait 1
20,PASS,release W
21,FAIL,waitspell CLIENT_MOVEMENT_CANCEL timeout
22,PASS,socket-trace stop
23,PASS,wire-trace stop
24,PASS,gm .gps
25,PASS,waitfor GmChatResponse
26,PASS,gm .gm on
27,PASS,wait 1
28,PASS,gm .npc spawn delete
